id,created_at,author_id,in_reply_to_user_id
60390,2025-11-21 00:59:58+00:00,41496,
37014,2025-11-21 00:59:28+00:00,25285,
76070,2025-11-21 00:59:19+00:00,18888,
59511,2025-11-21 00:59:07+00:00,21006,38089
53428,2025-11-21 00:59:05+00:00,10617,
57813,2025-11-21 00:58:54+00:00,7454,
21596,2025-11-21 00:58:34+00:00,1855,
76353,2025-11-21 00:58:34+00:00,14748,
22780,2025-11-21 00:58:30+00:00,41496,
15902,2025-11-21 00:58:30+00:00,29740,
41408,2025-11-21 01:59:33+00:00,26968,
41231,2025-11-21 01:59:32+00:00,4432,9118
25789,2025-11-21 01:59:23+00:00,40935,
14109,2025-11-21 01:59:21+00:00,40614,
46555,2025-11-21 01:59:21+00:00,2661,17149
4457,2025-11-21 01:59:17+00:00,41006,
42803,2025-11-21 01:59:14+00:00,25772,
73957,2025-11-21 01:59:10+00:00,194,
64262,2025-11-21 01:59:06+00:00,28877,
28241,2025-11-21 01:59:02+00:00,25772,
39516,2025-11-21 01:59:00+00:00,41010,9118
79051,2025-11-21 01:58:53+00:00,25434,4767
76095,2025-11-21 02:59:42+00:00,30018,
14984,2025-11-21 02:59:35+00:00,5772,
77461,2025-11-21 02:59:22+00:00,37206,
57966,2025-11-21 02:59:16+00:00,27890,
72723,2025-11-21 02:59:08+00:00,21240,
56412,2025-11-21 02:59:05+00:00,23795,
45946,2025-11-21 02:58:45+00:00,26388,
68089,2025-11-21 02:58:45+00:00,23200,5829
67866,2025-11-21 02:58:42+00:00,22860,
53194,2025-11-21 02:58:40+00:00,1725,
40734,2025-11-21 02:58:35+00:00,7680,
17809,2025-11-21 02:58:32+00:00,29982,
10455,2025-11-21 02:58:31+00:00,22299,
23456,2025-11-21 02:58:28+00:00,26354,38089
34022,2025-11-21 02:58:15+00:00,38187,
53553,2025-11-21 03:59:59+00:00,29264,
24845,2025-11-21 03:59:57+00:00,25278,
13308,2025-11-21 03:59:52+00:00,25439,
11517,2025-11-21 03:59:49+00:00,15215,
33814,2025-11-21 03:59:36+00:00,33985,
21,2025-11-21 03:59:26+00:00,38506,3223
32687,2025-11-21 03:59:19+00:00,872,
17634,2025-11-21 03:59:13+00:00,31780,
57510,2025-11-21 03:58:37+00:00,30065,
2092,2025-11-21 03:58:22+00:00,38909,
14320,2025-11-21 03:58:01+00:00,23564,
70182,2025-11-21 04:59:52+00:00,38855,
44071,2025-11-21 04:59:49+00:00,17041,
54314,2025-11-21 04:59:35+00:00,38342,
36339,2025-11-21 04:59:06+00:00,32610,
38412,2025-11-21 04:58:43+00:00,3050,
14829,2025-11-21 04:58:37+00:00,19282,
12841,2025-11-21 04:58:01+00:00,19282,
9771,2025-11-21 04:57:13+00:00,1541,
57367,2025-11-21 04:57:04+00:00,9330,
77593,2025-11-21 04:56:14+00:00,24585,
1409,2025-11-21 05:59:47+00:00,30600,
16152,2025-11-21 05:59:44+00:00,4068,
35591,2025-11-21 05:59:39+00:00,39497,
45051,2025-11-21 05:59:18+00:00,11704,
32347,2025-11-21 05:59:14+00:00,42169,22118
