id,created_at,author_id,in_reply_to_user_id,likert_scale_Q1,likert_scale_Q2
3630,2024-10-17,5297,,4,1
480,2024-10-17,3585,,3,1
447,2024-10-17,1353,,3,1
2470,2024-10-17,507,1415,1,3
680,2024-10-17,1213,3741,1,5
1925,2024-10-17,1104,,3,1
5792,2024-10-17,2652,5978,2,5
3392,2024-10-17,5138,,1,4
9162,2024-10-17,5603,,3,1
746,2024-10-17,4416,5978,3,3
9180,2024-10-17,2863,,3,1
8972,2024-10-17,4189,4189,3,1
8305,2024-10-17,5197,,3,3
6201,2024-10-17,2200,5978,3,1
1552,2024-10-17,5603,777,1,5
6004,2024-10-17,5345,5345,4,1
8,2024-10-17,5345,5345,4,1
7541,2024-10-17,5345,5345,3,1
7496,2024-10-17,5661,,3,1
6854,2024-10-17,4462,,4,1
3048,2024-10-17,1952,5601,3,1
2785,2024-10-17,3139,855,3,3
4745,2024-10-17,642,,3,1
5988,2024-10-17,4366,,5,1
2083,2024-10-17,642,,3,1
3761,2024-10-17,6197,,3,1
9896,2024-10-17,2185,,4,1
7873,2024-10-17,368,,3,1
8791,2024-10-17,5511,,4,1
3516,2024-10-17,5752,5752,3,3
9094,2024-10-17,3465,,1,5
3420,2024-10-17,5914,,1,5
242,2024-10-17,4971,,3,3
198,2024-10-17,2781,,1,5
9679,2024-10-17,2217,,1,5
7201,2024-10-17,1994,,3,1
5626,2024-10-17,4826,,1,5
9460,2024-10-17,1687,,3,3
8221,2024-10-17,6107,,1,5
5775,2024-10-17,5928,,3,1
9176,2024-10-17,5109,,3,3
6494,2024-10-17,1674,,1,5
858,2024-10-17,6033,,3,3
5188,2024-10-17,5830,,3,3
2660,2024-10-17,5301,,3,3
194,2024-10-17,759,,3,3
4306,2024-10-17,1717,,3,3
117,2024-10-17,865,,1,5
5037,2024-10-17,4830,,3,3
7670,2024-10-17,1063,,4,1
5045,2024-10-17,6028,,4,1
278,2024-10-17,3182,,3,3
3076,2024-10-17,4494,,3,3
9249,2024-10-17,84,,1,5
9989,2024-10-17,5691,,3,3
6215,2024-10-17,3517,,3,3
3763,2024-10-17,4990,,4,1
1341,2024-10-17,261,,1,5
2804,2024-10-17,481,,1,5
6640,2024-10-17,5102,,3,3
5889,2024-10-17,3657,,4,1
9566,2024-10-17,5035,,3,3
2430,2024-10-17,4990,,1,5
9145,2024-10-17,923,,2,4
4694,2024-10-17,2149,,3,3
7894,2024-10-17,1127,,1,5
8030,2024-10-17,2431,,3,3
8425,2024-10-17,5259,,1,5
818,2024-10-17,2345,,3,3
7103,2024-10-17,1822,,1,5
4627,2024-10-17,3465,,3,3
5841,2024-10-17,5526,,3,3
9270,2024-10-17,4984,,3,3
8396,2024-10-17,4355,,3,3
9754,2024-10-17,2169,,3,1
1245,2024-10-17,4926,,3,3
4284,2024-10-17,5259,,1,5
3013,2024-10-17,1346,,3,3
4035,2024-10-17,5992,,3,3
4651,2024-10-17,2418,,3,3
10120,2024-10-17,5841,,3,3
226,2024-10-17,5259,,3,3
6950,2024-10-17,4446,,3,3
249,2024-10-17,1636,,3,3
7742,2024-10-17,704,,1,5
2827,2024-10-17,427,,1,5
6777,2024-10-17,1208,,1,5
3031,2024-10-17,1834,,1,5
8801,2024-10-17,2503,,3,3
5393,2024-10-17,4607,,3,3
4161,2024-10-17,1834,,3,3
5681,2024-10-17,2584,,3,3
3755,2024-10-17,2476,,1,5
6589,2024-10-17,3126,,3,1
8607,2024-10-17,3041,,4,1
3988,2024-10-17,4660,,1,5
6940,2024-10-17,4450,,3,3
3115,2024-10-17,5179,,1,5
9622,2024-10-17,1834,,1,5
6991,2024-10-17,2108,,1,5
10251,2024-10-17,6024,,1,5
7047,2024-10-17,4196,,3,3
2248,2024-10-17,184,,1,5
1878,2024-10-17,2469,,3,3
9910,2024-10-17,5041,,1,5
8402,2024-10-17,184,,1,5
5951,2024-10-17,1354,,3,3
9127,2024-10-17,3202,,1,1
3602,2024-10-17,2182,,3,3
1931,2024-10-17,4568,,1,5
4233,2024-10-17,5379,,1,5
7816,2024-10-17,1469,,3,3
76,2024-10-17,3146,,3,3
9644,2024-10-17,2917,,3,3
1004,2024-10-17,4995,,1,5
1830,2024-10-17,143,,1,5
6972,2024-10-17,3786,,3,3
409,2024-10-17,2513,,3,3
1237,2024-10-17,1677,,3,3
5169,2024-10-17,1091,,1,5
5964,2024-10-17,3717,,3,3
10016,2024-10-17,3099,,1,5
9444,2024-10-17,1332,,3,3
836,2024-10-17,5929,,1,5
8814,2024-10-17,3232,,1,5
1711,2024-10-17,345,,1,5
2771,2024-10-17,802,,3,3
4895,2024-10-17,3896,,1,5
10244,2024-10-17,5440,,1,5
10011,2024-10-17,3108,,1,5
3666,2024-10-17,1885,,3,3
6928,2024-10-17,5236,,3,3
3393,2024-10-17,4502,,3,3
397,2024-10-17,5173,,3,3
3203,2024-10-17,713,,3,1
9731,2024-10-17,3795,,3,3
5383,2024-10-17,1564,,4,1
4534,2024-10-17,3232,,3,3
7967,2024-10-17,475,,3,1
2369,2024-10-17,4934,,1,5
1437,2024-10-17,5085,,3,3
8739,2024-10-17,1275,,1,5
3610,2024-10-17,6084,,1,5
6981,2024-10-17,633,,3,3
4140,2024-10-17,1274,,3,3
754,2024-10-17,4441,,3,3
8099,2024-10-17,3277,,3,3
4412,2024-10-17,2036,,3,3
5958,2024-10-17,4562,,3,3
7117,2024-10-17,6161,,3,3
186,2024-10-17,2967,,4,1
5413,2024-10-17,1627,,3,3
2935,2024-10-17,4474,,1,5
5802,2024-10-17,3835,,3,3
8080,2024-10-17,407,,3,3
6370,2024-10-17,3232,,1,5
77,2024-10-17,703,,1,5
471,2024-10-17,78,,3,3
5726,2024-10-17,4609,,3,3
8758,2024-10-17,3177,,3,3
87,2024-10-17,1978,,1,4
8234,2024-10-17,1398,,3,3
9709,2024-10-17,3394,,1,5
4817,2024-10-17,5307,,1,5
