id,created_at,author_id,in_reply_to_user_id,likert_scale_Q1
399,2025-06-06,3267,,5
2092,2025-06-06,3239,,5
4844,2025-06-06,888,,5
257,2025-06-06,3987,,5
3194,2025-06-06,30,,1
909,2025-06-06,1189,,5
3805,2025-06-06,653,,3
3218,2025-06-06,3211,,3
4605,2025-06-06,1924,,1
4851,2025-06-06,168,,2
75,2025-06-06,2482,,3
3817,2025-06-06,4164,,1
3801,2025-06-06,3075,,1
2041,2025-06-06,2908,,5
3464,2025-06-06,3346,,1
478,2025-06-06,3976,,1
1270,2025-06-06,365,,3
3743,2025-06-06,3502,,1
893,2025-06-06,1439,,3
3989,2025-06-06,2356,,1
1236,2025-06-06,2216,,5
3023,2025-06-06,3612,1700,5
4882,2025-06-06,396,,3
2077,2025-06-06,1432,,1
1178,2025-06-06,624,,5
223,2025-06-06,3536,,5
3167,2025-06-06,1243,,1
5024,2025-06-06,3388,,5
3402,2025-06-06,2479,,4
3946,2025-06-06,2692,,5
4799,2025-06-06,4123,,1
4784,2025-06-06,2530,,3
3292,2025-06-06,144,,1
3965,2025-06-06,1377,,3
4339,2025-06-06,964,,1
3902,2025-06-06,799,,1
3024,2025-06-06,1961,1479,1
2433,2025-06-06,965,,5
3447,2025-06-06,1522,,5
3198,2025-06-06,741,,1
3802,2025-06-06,2052,,3
71,2025-06-06,424,,5
2649,2025-06-06,3610,,5
829,2025-06-06,2990,,5
4778,2025-06-06,963,,5
1075,2025-06-06,3599,,5
460,2025-06-06,2167,,5
4940,2025-06-06,1442,,1
4843,2025-06-06,1939,,1
4372,2025-06-06,118,,3
3524,2025-06-06,4239,,3
4715,2025-06-06,3141,,1
3110,2025-06-06,536,,1
2768,2025-06-06,2106,,1
4336,2025-06-06,316,,1
5052,2025-06-06,536,,1
180,2025-06-06,1168,,1
3792,2025-06-06,4278,,5
3237,2025-06-06,330,,3
4371,2025-06-06,4068,,5
3438,2025-06-06,3354,,1
5019,2025-06-06,1547,,1
4274,2025-06-06,4099,,5
1744,2025-06-06,4270,,5
1730,2025-06-06,1288,,5
2591,2025-06-06,2154,,1
746,2025-06-06,606,,3
2174,2025-06-06,673,,1
1907,2025-06-06,960,,3
1387,2025-06-06,1847,,1
3737,2025-06-06,2398,,1
3037,2025-06-06,2641,,5
2487,2025-06-06,1935,3684,1
2,2025-06-06,3052,,1
609,2025-06-06,2641,,3
1431,2025-06-06,1148,,4
4684,2025-06-06,1039,,5
3366,2025-06-06,3687,,2
2669,2025-06-06,1228,,5
5017,2025-06-06,4126,,1
2798,2025-06-06,1353,,1
4775,2025-06-06,1888,,1
2384,2025-06-06,439,,5
1661,2025-06-06,2625,,1
2356,2025-06-06,1743,,3
4662,2025-06-06,232,,3
1643,2025-06-06,3576,,3
580,2025-06-06,1584,,1
1153,2025-06-06,4272,,1
475,2025-06-06,4147,,5
846,2025-06-06,1238,,3
3097,2025-06-06,3628,,4
390,2025-06-06,2691,,5
793,2025-06-06,1217,,1
3419,2025-06-06,2455,,5
2924,2025-06-06,2973,,3
678,2025-06-06,1238,,5
2895,2025-06-06,4188,,1
1163,2025-06-06,505,,5
3044,2025-06-06,1454,,3
4822,2025-06-06,62,,1
2278,2025-06-06,1469,,1
386,2025-06-06,1408,,1
767,2025-06-06,1209,,5
4557,2025-06-06,2855,,5
1176,2025-06-06,1454,,3
106,2025-06-06,1163,,1
2771,2025-06-06,206,,3
4670,2025-06-06,3298,,1
4566,2025-06-06,2657,,1
1000,2025-06-06,1810,,4
3150,2025-06-06,601,,1
887,2025-06-06,482,,3
3064,2025-06-06,3416,,1
3895,2025-06-06,34,,1
2660,2025-06-06,368,,5
74,2025-06-06,4131,,1
541,2025-06-06,931,,5
4913,2025-06-06,2815,,3
2586,2025-06-06,87,,5
488,2025-06-06,1045,,3
4937,2025-06-06,3343,,1
2612,2025-06-06,2494,,1
498,2025-06-06,1040,,5
3456,2025-06-06,3187,,1
4889,2025-06-06,1722,,2
2406,2025-06-06,3046,,5
363,2025-06-06,2055,,3
1849,2025-06-06,4102,,1
4652,2025-06-06,2663,3762,4
43,2025-06-06,1143,,5
2785,2025-06-06,2673,,5
2644,2025-06-06,2898,,1
1035,2025-06-06,2767,,3
1677,2025-06-06,889,,1
4642,2025-06-06,687,,4
1758,2025-06-06,889,,1
4758,2025-06-06,2144,,1
