id,created_at,author_id,in_reply_to_user_id,likert_scale_Q1
6554,2025-06-07,2450,,4
5314,2025-06-07,2336,,5
1053,2025-06-07,1464,,5
5847,2025-06-07,2885,,5
6095,2025-06-07,140,,5
180,2025-06-07,1775,,5
5107,2025-06-07,2576,,3
3180,2025-06-07,3197,,5
6194,2025-06-07,5517,,5
3553,2025-06-07,5156,,3
1043,2025-06-07,3532,,5
1358,2025-06-07,1241,,4
2059,2025-06-07,4076,,3
5276,2025-06-07,998,,3
6219,2025-06-07,1236,,1
4042,2025-06-07,5768,,3
4181,2025-06-07,1206,,3
3899,2025-06-07,1950,,3
578,2025-06-07,5134,,3
4101,2025-06-07,5142,,5
4596,2025-06-07,6278,,3
5256,2025-06-07,3235,,4
2414,2025-06-07,4075,,5
4783,2025-06-07,1473,,3
2495,2025-06-07,3699,,3
3879,2025-06-07,5724,,5
3902,2025-06-07,4056,,4
6585,2025-06-07,3191,,3
1269,2025-06-07,6202,,3
739,2025-06-07,3170,,3
902,2025-06-07,1489,,3
399,2025-06-07,5265,,4
1543,2025-06-07,4586,,1
5038,2025-06-07,3356,1745,5
3098,2025-06-07,3468,,5
6134,2025-06-07,4005,,5
90,2025-06-07,5218,,4
4565,2025-06-07,3638,,5
4773,2025-06-07,5339,,3
6858,2025-06-07,5725,6180,5
15,2025-06-07,4830,,5
4276,2025-06-07,4568,,5
2082,2025-06-07,5582,,4
1750,2025-06-07,5786,,3
4325,2025-06-07,1276,,5
6046,2025-06-07,4936,,3
1668,2025-06-07,5565,,4
4668,2025-06-07,1003,,3
4245,2025-06-07,538,,3
2609,2025-06-07,5874,,4
4291,2025-06-07,4908,,5
7014,2025-06-07,5806,,3
5372,2025-06-07,3154,,3
2878,2025-06-07,5280,,5
2081,2025-06-07,2430,,3
5311,2025-06-07,5648,,3
1932,2025-06-07,6056,,3
4813,2025-06-07,2299,,5
280,2025-06-07,2109,,3
4512,2025-06-07,1940,,4
7117,2025-06-07,1633,,5
2812,2025-06-07,5690,,5
368,2025-06-07,1709,,2
4217,2025-06-07,6199,,3
6751,2025-06-07,700,,3
1008,2025-06-07,1190,,1
