id,created_at,author_id,in_reply_to_user_id,likert_scale_Q1,likert_scale_Q2,likert_scale_Q3
2075,2024-11-08,3661,,3,3,3
1197,2024-11-08,764,,3,4,3
666,2024-11-08,321,,3,2,4
3934,2024-11-08,2724,,4,4,3
2705,2024-11-08,2424,,5,5,1
1587,2024-11-08,460,,4,5,1
3022,2024-11-08,3742,,5,5,1
312,2024-11-08,636,,5,5,1
1182,2024-11-08,1594,,2,2,4
4540,2024-11-08,2022,150,3,3,1
1754,2024-11-08,2391,,4,5,1
1262,2024-11-08,1080,,3,4,3
2089,2024-11-08,704,,4,5,1
1734,2024-11-08,3051,,5,5,1
2644,2024-11-08,2877,,5,4,1
243,2024-11-08,1756,,5,5,1
4222,2024-11-08,3667,,3,4,3
382,2024-11-08,712,,3,2,4
2225,2024-11-08,1406,,5,5,1
3208,2024-11-08,281,,5,5,1
3365,2024-11-08,2967,,3,3,1
473,2024-11-08,585,,3,3,3
3783,2024-11-08,321,,4,4,1
1327,2024-11-08,891,,5,5,1
1792,2024-11-08,1509,,5,5,1
877,2024-11-08,90,,5,5,1
43,2024-11-08,1421,,4,5,1
2172,2024-11-08,712,,3,3,3
4648,2024-11-08,106,,5,5,1
2279,2024-11-08,715,,4,4,2
428,2024-11-08,3174,,3,3,3
481,2024-11-08,1508,,3,4,3
4329,2024-11-08,675,,3,3,1
4268,2024-11-08,18,,5,5,1
3176,2024-11-08,519,,3,3,3
4679,2024-11-08,321,,2,2,4
1094,2024-11-08,1550,,3,4,3
371,2024-11-08,429,,5,5,1
1187,2024-11-08,1594,,2,1,3
2913,2024-11-08,658,,5,5,1
2122,2024-11-08,316,1661,5,5,1
2617,2024-11-08,492,,5,5,1
2242,2024-11-08,2413,,3,4,3
2919,2024-11-08,1306,,5,5,1
573,2024-11-08,2840,,1,3,4
1040,2024-11-08,2727,,5,5,1
410,2024-11-08,2119,,5,5,1
1133,2024-11-08,2474,,3,4,3
4197,2024-11-08,3500,,5,5,1
2330,2024-11-08,1149,,5,5,1
424,2024-11-08,2266,,1,1,1
2824,2024-11-08,616,,2,2,4
3144,2024-11-08,560,,5,5,1
4031,2024-11-08,2754,,5,5,1
2969,2024-11-08,3744,,1,1,2
1409,2024-11-08,2266,,3,2,3
3250,2024-11-08,2257,,5,5,1
4402,2024-11-08,1452,,5,5,1
3870,2024-11-08,2434,,2,1,3
423,2024-11-08,3073,,4,4,1
1419,2024-11-08,3470,,5,5,1
802,2024-11-08,1867,,4,4,1
442,2024-11-08,2923,,2,1,1
4152,2024-11-08,1525,,4,4,1
1649,2024-11-08,165,,5,5,1
2795,2024-11-08,3235,,4,4,2
2170,2024-11-08,621,3061,3,3,3
4591,2024-11-08,3306,,5,5,1
1189,2024-11-08,85,,5,5,1
4625,2024-11-08,908,,4,5,1
3998,2024-11-08,857,,4,4,2
1029,2024-11-08,2413,,5,5,1
585,2024-11-08,2566,,5,5,1
1054,2024-11-08,908,,5,5,1
273,2024-11-08,1857,,5,5,1
1245,2024-11-08,32,,4,5,1
3466,2024-11-08,18,,5,5,1
174,2024-11-08,2383,,3,3,3
158,2024-11-08,1739,,3,3,4
3572,2024-11-08,2591,,3,4,3
4217,2024-11-08,1427,,4,5,1
3674,2024-11-08,1921,,5,5,1
4049,2024-11-08,3029,,3,3,1
834,2024-11-08,1044,,3,3,3
2894,2024-11-08,155,,3,4,3
1521,2024-11-08,1080,,5,5,1
2369,2024-11-08,1075,,2,1,3
2510,2024-11-08,905,,3,2,3
1926,2024-11-08,3422,,4,5,1
608,2024-11-08,715,,5,5,1
2182,2024-11-08,2413,,4,4,1
1183,2024-11-08,1823,,3,3,3
1934,2024-11-08,3543,,2,2,4
2837,2024-11-08,2738,,5,5,1
322,2024-11-08,85,,5,5,1
2802,2024-11-08,1012,,3,4,1
1774,2024-11-08,677,,4,4,1
127,2024-11-08,3704,,3,3,3
3552,2024-11-08,3695,,5,5,1
1468,2024-11-08,2869,,4,5,1
1142,2024-11-08,2733,,3,3,1
3308,2024-11-08,489,,5,5,1
2438,2024-11-08,3623,,4,5,1
468,2024-11-08,1756,,5,5,1
2059,2024-11-08,3381,,5,5,1
2735,2024-11-08,1158,,5,5,1
2548,2024-11-08,938,,5,5,1
1167,2024-11-08,3261,,5,5,1
2215,2024-11-08,3216,,4,4,1
1929,2024-11-08,1427,,3,4,3
129,2024-11-08,879,,5,5,1
4346,2024-11-08,3508,,3,4,3
2637,2024-11-08,3261,,4,5,1
1474,2024-11-08,985,,5,5,1
3244,2024-11-08,2922,,3,2,4
4593,2024-11-08,1192,,5,5,1
1841,2024-11-08,2923,,4,4,1
4428,2024-11-08,2726,,5,5,1
3947,2024-11-08,2923,,3,1,1
203,2024-11-08,3261,,3,3,1
4041,2024-11-08,1971,,3,4,1
712,2024-11-08,3105,,4,5,1
810,2024-11-08,513,,5,5,1
1395,2024-11-08,489,,5,5,1
1211,2024-11-08,1741,,5,5,1
3236,2024-11-08,2046,,4,5,1
1718,2024-11-08,3776,,5,5,1
2697,2024-11-08,2087,,5,5,1
3848,2024-11-08,1971,,3,3,1
2219,2024-11-08,2169,,2,3,4
3547,2024-11-08,965,,4,4,1
19,2024-11-08,2922,,3,3,3
3505,2024-11-08,3427,,5,5,1
1137,2024-11-08,783,,5,5,1
2164,2024-11-08,3343,,5,5,1
99,2024-11-08,2119,,5,5,1
2323,2024-11-08,1110,,5,5,1
305,2024-11-08,1656,,3,5,3
2427,2024-11-08,3765,,3,4,1
521,2024-11-08,416,,3,5,3
3965,2024-11-08,1442,,3,5,3
3539,2024-11-08,2870,,3,3,3
4200,2024-11-08,3270,,1,3,4
1375,2024-11-08,3773,,5,5,1
1382,2024-11-08,2648,,3,5,3
3640,2024-11-08,1572,,3,5,3
4551,2024-11-08,270,,3,5,3
2010,2024-11-08,2870,,3,3,3
822,2024-11-08,740,,3,3,1
3092,2024-11-08,1344,,4,4,1
2535,2024-11-08,3374,,3,5,3
904,2024-11-08,455,1565,5,5,1
1169,2024-11-08,1861,,2,3,4
4337,2024-11-08,184,,5,5,1
3800,2024-11-08,533,,5,5,1
4442,2024-11-08,1991,,5,5,1
1516,2024-11-08,693,,3,5,3
4658,2024-11-08,2322,,5,5,1
945,2024-11-08,3163,,5,5,1
3314,2024-11-08,1350,,3,5,3
1979,2024-11-08,1544,,3,4,1
3967,2024-11-08,940,,3,5,3
3925,2024-11-08,740,,5,5,1
2822,2024-11-08,907,,5,5,1
864,2024-11-08,2085,,5,5,1
3016,2024-11-08,454,,5,5,1
1121,2024-11-08,3482,,5,5,1
1884,2024-11-08,1712,,3,5,3
65,2024-11-08,1896,,5,5,1
3749,2024-11-08,2228,,1,1,5
1287,2024-11-08,70,,3,5,3
3658,2024-11-08,1665,,3,1,3
2991,2024-11-08,925,,5,5,1
2884,2024-11-08,1067,,3,5,3
1418,2024-11-08,3060,,3,5,3
1078,2024-11-08,2086,,4,5,1
791,2024-11-08,1668,,5,5,1
4117,2024-11-08,3737,,3,5,3
1370,2024-11-08,2323,,5,5,1
4550,2024-11-08,740,,4,5,1
1953,2024-11-08,630,,3,3,3
3591,2024-11-08,3628,,4,5,1
695,2024-11-08,1246,,3,3,3
193,2024-11-08,929,,5,5,1
3789,2024-11-08,3587,,3,3,3
660,2024-11-08,2790,,5,5,1
3898,2024-11-08,2269,,5,5,1
4279,2024-11-08,908,,5,5,1
3982,2024-11-08,925,,3,4,1
4218,2024-11-08,2085,,5,5,1
3345,2024-11-08,2970,,2,1,4
1853,2024-11-08,1583,,5,5,1
2892,2024-11-08,2085,,5,5,1
4438,2024-11-08,2101,,5,5,1
2789,2024-11-08,2263,,5,5,1
72,2024-11-08,413,,2,2,4
1901,2024-11-08,2049,,3,3,3
3216,2024-11-08,2113,,3,5,3
1654,2024-11-08,2470,,3,3,3
4136,2024-11-08,607,,3,3,3
2187,2024-11-08,2123,,5,5,1
4227,2024-11-08,3132,,2,2,4
1209,2024-11-08,2041,,5,5,1
817,2024-11-08,1922,,3,4,3
3764,2024-11-08,2599,,3,5,3
860,2024-11-08,283,,3,5,3
1586,2024-11-08,491,,3,3,3
2349,2024-11-08,811,,3,3,3
1435,2024-11-08,2437,,3,5,3
1328,2024-11-08,694,3444,5,3,1
4171,2024-11-08,242,,5,5,1
4673,2024-11-08,852,,5,5,1
838,2024-11-08,1987,,5,5,1
4585,2024-11-08,2609,,5,5,1
3043,2024-11-08,2798,,3,5,3
4078,2024-11-08,967,,5,5,1
1582,2024-11-08,2369,335,5,5,1
240,2024-11-08,2936,,1,1,4
2030,2024-11-08,1399,,3,5,1
446,2024-11-08,3759,,5,5,1
935,2024-11-08,3323,,5,5,1
1042,2024-11-08,1257,,2,1,4
3020,2024-11-08,3586,37,5,5,1
1193,2024-11-08,722,,3,5,3
4216,2024-11-08,859,,5,5,1
4196,2024-11-08,3312,,3,3,1
3856,2024-11-08,3751,,3,5,3
4615,2024-11-08,2825,,5,5,1
1237,2024-11-08,1949,,3,4,3
3851,2024-11-08,3304,,5,5,1
2409,2024-11-08,1510,,2,1,3
2862,2024-11-08,2061,,5,5,1
2283,2024-11-08,3085,,4,4,1
1107,2024-11-08,1990,,5,5,1
3651,2024-11-08,773,,3,5,3
4526,2024-11-08,392,,5,5,1
2105,2024-11-08,5,,5,5,1
1988,2024-11-08,1635,,3,5,3
4426,2024-11-08,3691,,5,5,1
1902,2024-11-08,2784,,2,2,4
1912,2024-11-08,344,,4,4,3
81,2024-11-08,842,,5,5,1
3192,2024-11-08,917,,5,5,1
4677,2024-11-08,3407,,3,5,1
3957,2024-11-08,3486,,5,5,1
1665,2024-11-08,1750,,4,5,1
3045,2024-11-08,1622,,5,5,1
2296,2024-11-08,1721,,5,5,1
4539,2024-11-08,2702,,5,5,1
325,2024-11-08,2825,,5,5,1
149,2024-11-08,2041,,5,5,1
4005,2024-11-08,1440,,4,4,1
3,2024-11-08,721,,5,5,1
3199,2024-11-08,173,,4,4,1
1337,2024-11-08,329,,4,5,1
698,2024-11-08,747,,5,5,1
3306,2024-11-08,3085,,5,5,1
1622,2024-11-08,1990,,5,5,1
3230,2024-11-08,1258,,5,5,1
3679,2024-11-08,1006,,3,3,1
1689,2024-11-08,2900,,3,5,1
2626,2024-11-08,1738,,3,5,3
3415,2024-11-08,2112,,5,5,1
2462,2024-11-08,1131,,5,5,1
4169,2024-11-08,2995,,5,5,1
148,2024-11-08,2713,,5,5,1
1019,2024-11-08,1803,,3,5,3
4259,2024-11-08,2922,,2,3,4
1179,2024-11-08,2343,,3,3,3
507,2024-11-08,1789,,2,2,4
1030,2024-11-08,3734,,4,5,1
3677,2024-11-08,528,,3,3,1
4314,2024-11-08,3625,,3,5,3
892,2024-11-08,1604,,5,5,1
3240,2024-11-08,250,,5,5,1
1554,2024-11-08,3311,,2,2,4
775,2024-11-08,1492,,5,5,1
2494,2024-11-08,1881,,5,5,1
467,2024-11-08,1643,,3,3,1
