id,created_at,author_id,in_reply_to_user_id,likert_scale_Q1
3919,2025-06-06,2684,5257,1
666,2025-06-06,2813,4887,4
2573,2025-06-08,2401,4195,1
2334,2025-06-08,2946,,1
4174,2025-06-08,26,,1
2873,2025-06-08,3346,,1
302,2025-06-08,5379,,1
4315,2025-06-08,1257,,1
617,2025-06-08,282,,1
2581,2025-06-08,1284,,1
1198,2025-06-08,4396,,1
474,2025-06-08,3778,,1
595,2025-06-08,728,,1
767,2025-06-08,2192,,1
2609,2025-06-08,5666,,1
1606,2025-06-08,5223,,1
3045,2025-06-10,2253,,5
2266,2025-06-10,2253,4887,5
3354,2025-06-10,1353,4887,5
416,2025-06-10,1896,4887,1
3265,2025-06-10,4322,4322,1
1925,2025-06-10,1796,,1
600,2025-06-10,3844,,1
4239,2025-06-10,5228,,2
2384,2025-06-10,5064,,1
1637,2025-06-10,1864,,2
2372,2025-06-10,4399,4887,1
3472,2025-06-10,238,4887,2
1415,2025-06-10,3330,,2
3334,2025-06-10,2667,,2
3297,2025-06-10,2983,,1
488,2025-06-10,3875,,2
266,2025-06-10,895,,2
2189,2025-06-10,6272,,2
2293,2025-06-10,1842,,2
1138,2025-06-10,4748,4887,5
699,2025-06-10,928,,2
2657,2025-06-10,2497,,2
3541,2025-06-10,2835,,1
2905,2025-06-10,1825,,1
1937,2025-06-10,5368,,1
3236,2025-06-10,953,,1
2138,2025-06-10,5400,,2
489,2025-06-10,943,,2
1737,2025-06-10,1923,,1
1256,2025-06-10,887,,2
1673,2025-06-10,3595,,2
4254,2025-06-10,773,,1
3174,2025-06-10,1471,,2
3198,2025-06-10,881,,2
121,2025-06-10,1939,,2
1373,2025-06-10,819,52,2
790,2025-06-10,52,4887,5
2312,2025-06-10,2236,4887,1
3051,2025-06-10,2835,,2
2450,2025-06-10,6177,,1
4216,2025-06-10,5298,,1
3614,2025-06-10,1962,749,1
3158,2025-06-10,2228,749,1
1514,2025-06-10,2042,749,1
2724,2025-06-10,5163,,1
3678,2025-06-10,934,,1
3390,2025-06-10,4382,,1
532,2025-06-10,4357,,2
1364,2025-06-10,2856,,1
2787,2025-06-10,5685,,1
2500,2025-06-10,2763,,1
1439,2025-06-10,5387,,1
3246,2025-06-10,2707,,1
178,2025-06-10,581,,1
1767,2025-06-10,5724,4887,5
407,2025-06-10,1024,749,1
1626,2025-06-10,5556,749,1
3363,2025-06-10,4270,749,1
3580,2025-06-10,5324,,1
2361,2025-06-10,1111,749,5
906,2025-06-10,2112,,1
1976,2025-06-10,5874,,2
3191,2025-06-10,3124,749,1
1142,2025-06-10,4983,4887,1
4223,2025-06-10,2272,,2
3666,2025-06-10,4305,,1
1882,2025-06-10,3239,,1
1578,2025-06-10,265,749,3
2243,2025-06-10,6292,749,3
1477,2025-06-10,6292,,1
3710,2025-06-10,5217,,1
3154,2025-06-10,480,,1
1271,2025-06-10,3136,749,5
3519,2025-06-10,5378,,1
2063,2025-06-10,5142,5889,1
45,2025-06-10,5624,749,5
1322,2025-06-10,4690,,1
3076,2025-06-10,555,4887,3
1681,2025-06-10,1208,,2
3687,2025-06-10,2143,,1
1185,2025-06-10,3972,,1
1635,2025-06-10,851,,1
4212,2025-06-10,697,749,5
1843,2025-06-10,5073,749,5
4040,2025-06-10,627,749,1
3121,2025-06-10,2019,,1
1590,2025-06-10,2789,,2
92,2025-06-10,6086,4519,3
2464,2025-06-10,3924,,2
2215,2025-06-10,116,749,1
320,2025-06-10,1393,4887,3
4068,2025-06-10,6222,749,3
1043,2025-06-10,4427,5126,1
1856,2025-06-10,4427,2539,1
1085,2025-06-10,5490,,1
771,2025-06-10,303,4887,1
1410,2025-06-10,5242,,1
2903,2025-06-10,5336,,1
281,2025-06-10,4124,,1
2976,2025-06-10,4331,749,5
2311,2025-06-10,5296,749,3
2494,2025-06-10,6151,749,3
2117,2025-06-10,5783,,5
2833,2025-06-10,4010,,1
1060,2025-06-10,3013,749,1
4178,2025-06-10,3104,,1
3233,2025-06-10,3757,,1
2892,2025-06-10,2299,,1
2923,2025-06-10,2821,749,1
4250,2025-06-10,1766,,1
3898,2025-06-10,2793,749,1
