id,created_at,author_id,in_reply_to_user_id,likert_scale_Q1,likert_scale_Q2
5407,2025-01-28,10532,,5,5
5297,2025-01-28,7164,,4,5
2207,2025-01-28,2617,,2,1
6153,2025-01-28,10657,,4,4
6159,2025-01-28,6771,,5,5
4960,2025-01-28,3693,,5,5
1760,2025-01-28,9062,,5,5
3301,2025-01-28,4628,,2,1
8955,2025-01-28,1994,,2,1
14999,2025-01-28,12056,,4,4
14586,2025-01-28,6056,,3,1
9619,2025-01-28,7980,1615,1,1
2722,2025-01-28,11327,,2,2
2544,2025-01-28,28,,2,2
487,2025-01-28,1978,,2,2
7269,2025-01-28,2484,,2,2
14504,2025-01-28,8224,,5,1
5555,2025-01-28,1358,,3,3
13756,2025-01-28,5422,,5,5
2523,2025-01-28,12216,,4,4
8759,2025-01-28,8959,,3,2
9934,2025-01-28,8342,,4,5
940,2025-01-28,10223,,4,5
4900,2025-01-28,632,,5,5
4761,2025-01-28,8189,,2,1
8914,2025-01-28,7485,,2,1
4801,2025-01-28,1447,,4,5
778,2025-01-28,211,,2,2
8774,2025-01-28,6191,,4,4
12513,2025-01-28,5150,,5,4
2943,2025-01-28,11614,,2,1
4729,2025-01-28,6080,,5,1
2032,2025-01-28,6644,,4,5
10157,2025-01-28,5589,,4,5
1821,2025-01-28,8958,,4,5
2367,2025-01-28,12113,,4,4
12695,2025-01-28,5365,,4,5
5413,2025-01-28,1919,,4,5
2108,2025-01-28,1902,,5,5
11139,2025-01-28,7736,,3,2
5363,2025-01-28,510,,4,5
14915,2025-01-28,1413,,4,5
14516,2025-01-28,6836,,4,4
10987,2025-01-28,9402,,5,5
4694,2025-01-28,7951,,5,1
6646,2025-01-28,4060,,5,1
3543,2025-01-28,6999,,5,5
4946,2025-01-28,11760,,2,1
13366,2025-01-28,8358,,4,5
3983,2025-01-28,2313,,1,1
12466,2025-01-28,3933,,5,5
2791,2025-01-28,1192,,5,5
5831,2025-01-28,3443,,5,5
7370,2025-01-28,10986,,2,2
9000,2025-01-28,8230,,2,1
14611,2025-01-28,2763,,5,5
12982,2025-01-28,5569,,4,5
3152,2025-01-28,1258,,5,1
12980,2025-01-28,8557,2732,2,2
11858,2025-01-28,9561,,4,5
4447,2025-01-28,7829,,2,1
4415,2025-01-28,9933,,4,5
12943,2025-01-28,3322,,5,5
3948,2025-01-28,1165,,5,1
747,2025-01-28,1456,,5,5
7344,2025-01-28,5312,,4,4
6584,2025-01-28,11461,,1,1
8128,2025-01-28,8342,,5,5
74,2025-01-28,850,,4,5
8104,2025-01-28,818,,2,1
5486,2025-01-28,11364,,5,5
9689,2025-01-28,8553,,2,2
3665,2025-01-28,1499,,4,4
6760,2025-01-28,4927,,5,5
9367,2025-01-28,11723,,4,5
3898,2025-01-28,537,,2,1
2730,2025-01-28,9301,,4,5
13572,2025-01-28,1218,,5,5
13542,2025-01-28,1662,,4,5
11966,2025-01-28,6454,,5,5
7443,2025-01-28,4043,,4,4
972,2025-01-28,3798,,2,1
9359,2025-01-28,7979,,2,2
8495,2025-01-28,9308,,5,5
14120,2025-01-28,8549,,5,5
7130,2025-01-28,6570,,5,1
14077,2025-01-28,8379,,5,1
11634,2025-01-28,9088,,5,5
7009,2025-01-28,3574,,4,5
1049,2025-01-28,3515,,5,1
9634,2025-01-28,3824,,5,4
8767,2025-01-28,2810,,3,3
14072,2025-01-28,1675,,4,5
248,2025-01-28,10883,,3,2
14122,2025-01-28,8797,,2,2
13605,2025-01-28,11406,,4,5
171,2025-01-28,5276,,5,5
7856,2025-01-28,7512,,3,3
10139,2025-01-28,6207,,5,5
10839,2025-01-28,6302,,2,1
8266,2025-01-28,11985,,5,5
13376,2025-01-28,2936,,2,1
10257,2025-01-28,4667,,3,2
703,2025-01-28,5788,,4,5
12511,2025-01-28,11408,,2,1
7123,2025-01-28,9205,,4,4
5596,2025-01-28,7387,,4,4
3570,2025-01-28,5917,,4,4
8125,2025-01-28,1290,,4,5
14974,2025-01-28,787,,5,5
1149,2025-01-28,10817,,2,1
9446,2025-01-28,3111,,2,1
11099,2025-01-28,3826,,3,1
5161,2025-01-28,8121,,2,2
11995,2025-01-28,4014,,4,4
11466,2025-01-28,2577,,2,1
3027,2025-01-28,926,,2,2
130,2025-01-28,1597,,4,5
13850,2025-01-28,2177,,3,2
14311,2025-01-28,1382,,2,1
3674,2025-01-28,4318,,2,2
11853,2025-01-28,11371,3951,1,1
12930,2025-01-28,2903,,5,5
2195,2025-01-28,6578,,5,5
12289,2025-01-28,8614,,1,1
8408,2025-01-28,3227,,2,1
5067,2025-01-28,3515,,4,5
8665,2025-01-28,2319,,4,5
11325,2025-01-28,6143,,3,2
128,2025-01-28,5727,,4,5
10811,2025-01-28,3986,,2,1
4699,2025-01-28,787,,4,5
7179,2025-01-28,9864,,2,1
11313,2025-01-28,9123,,5,5
3471,2025-01-28,5518,,4,5
13731,2025-01-28,11364,,5,5
3836,2025-01-28,12253,,5,5
13972,2025-01-28,4407,,4,5
3897,2025-01-28,3194,,5,5
5162,2025-01-28,1542,,5,4
4689,2025-01-28,6755,,4,5
1840,2025-01-28,10208,,2,2
3126,2025-01-28,7056,,5,5
10025,2025-01-28,6255,,5,5
6768,2025-01-28,4505,,5,1
8695,2025-01-28,4008,,4,4
10068,2025-01-28,4785,,2,1
12274,2025-01-28,5476,,3,1
3144,2025-01-28,6519,,5,1
14693,2025-01-28,7794,,4,5
1322,2025-01-28,4022,,4,4
8451,2025-01-28,6123,,5,5
7973,2025-01-28,2735,,5,5
13002,2025-01-28,9652,,5,5
10416,2025-01-28,1713,,1,1
5645,2025-01-28,8544,,3,2
10369,2025-01-28,9338,,2,1
14966,2025-01-28,11458,,5,5
32,2025-01-28,6836,,5,5
11749,2025-01-28,8037,,5,5
11495,2025-01-28,641,,5,1
12629,2025-01-28,10205,,2,1
5138,2025-01-28,3173,,2,1
11500,2025-01-28,7239,,2,1
9973,2025-01-28,10786,,4,5
6158,2025-01-28,613,,5,5
3084,2025-01-28,4292,,3,2
4622,2025-01-28,8075,,3,4
6545,2025-01-28,11364,,4,5
4657,2025-01-28,2377,,5,1
2638,2025-01-28,3568,,5,1
13357,2025-01-28,2137,,5,5
7814,2025-01-28,11955,,1,1
11327,2025-01-28,5917,,5,5
4057,2025-01-28,9273,,2,2
11458,2025-01-28,11225,,5,5
9700,2025-01-28,11987,,1,1
8782,2025-01-28,4405,,2,2
5808,2025-01-28,4626,,4,4
3034,2025-01-28,6070,6070,3,4
9448,2025-01-28,8959,,5,1
8596,2025-01-28,10046,,2,2
14441,2025-01-28,281,,4,5
