video_id,id,author_id,created_at,likert_scale_Q1,in_reply_to_user_id
61,34066,13282,2025-04-15,3,
61,52266,17474,2025-04-15,3,
61,600,12781,2025-04-15,3,
61,51780,23174,2025-04-15,3,
61,55734,21184,2025-04-14,1,
61,25562,17318,2025-04-14,3,
61,57158,23846,2025-04-14,1,
61,69095,5602,2025-04-14,1,
61,71142,20893,2025-04-14,1,
61,69045,18743,2025-04-14,3,
61,11308,13270,2025-04-14,1,
61,44504,14509,2025-04-14,1,
61,34252,16850,2025-04-14,3,
61,18327,18219,2025-04-14,1,
61,42641,10260,2025-04-14,3,
61,42387,1105,2025-04-14,1,
61,15923,1629,2025-04-14,1,
61,23298,4513,2025-04-14,1,
61,25486,7757,2025-04-14,1,
61,27995,14672,2025-04-14,5,
61,65142,20528,2025-04-14,3,
61,33124,23653,2025-04-14,3,
61,66155,5477,2025-04-14,5,
61,31663,560,2025-04-14,3,
61,5316,10899,2025-04-14,3,
61,16200,21918,2025-04-14,1,
61,57914,20427,2025-04-14,3,
61,26576,14745,2025-04-14,1,
61,26734,9192,2025-04-14,4,
61,878,2415,2025-04-14,3,
61,21452,2846,2025-04-14,3,
61,3761,1806,2025-04-14,3,
61,51535,12443,2025-04-14,1,
61,52212,16922,2025-04-14,1,
61,49084,13756,2025-04-14,2,
61,17093,14304,2025-04-14,1,
61,57809,3662,2025-04-14,1,
61,68715,1988,2025-04-14,1,
61,36836,24269,2025-04-14,3,
61,51899,2146,2025-04-14,3,
61,65826,19277,2025-04-14,3,
61,26231,1212,2025-04-14,2,
61,42856,8199,2025-04-14,3,
61,22936,13032,2025-04-14,3,
61,24199,17009,2025-04-14,3,
61,43526,20774,2025-04-14,3,
61,36555,13362,2025-04-14,3,
61,52114,11363,2025-04-14,3,
61,56157,1672,2025-04-14,3,
61,61344,20839,2025-04-14,1,
61,66961,22260,2025-04-14,1,
61,61176,1863,2025-04-14,1,
61,50408,10605,2025-04-14,1,
61,34396,10605,2025-04-14,3,
61,41980,10847,2025-04-14,1,
61,21186,21724,2025-04-14,3,
61,69516,7733,2025-04-14,3,21724
61,20111,21724,2025-04-14,3,21724
61,68767,7733,2025-04-14,3,21724
61,41946,3656,2025-04-14,1,
61,20643,2467,2025-04-14,1,
61,49133,19113,2025-04-14,2,
61,46411,7592,2025-04-14,1,
61,11733,28121,2025-04-14,3,
61,19172,268,2025-04-14,3,
61,60979,14308,2025-04-14,3,
61,40248,24801,2025-04-14,3,
61,27706,16267,2025-04-14,1,
61,69093,1332,2025-04-14,1,
61,46086,26926,2025-04-14,3,1332
61,33270,1332,2025-04-14,2,
61,35560,21426,2025-04-14,4,
61,59150,2569,2025-04-14,1,21426
61,45323,17166,2025-04-14,3,
61,2731,14794,2025-04-14,2,
61,16579,8355,2025-04-14,3,
61,17367,14794,2025-04-14,3,
61,41194,21522,2025-04-14,1,
61,25082,5584,2025-04-14,3,
61,34518,5584,2025-04-14,3,
61,8798,26926,2025-04-14,1,5584
61,70698,14632,2025-04-14,1,
61,46311,8100,2025-04-14,3,
61,37416,23314,2025-04-14,2,
61,8084,23314,2025-04-14,3,
61,50888,17016,2025-04-14,1,
61,35974,24953,2025-04-14,1,
61,33028,19784,2025-04-14,1,24953
61,42529,17814,2025-04-14,3,
61,69871,17487,2025-04-14,1,
61,35847,20332,2025-04-14,3,
61,43477,15565,2025-04-14,3,
61,25574,23034,2025-04-14,3,
61,57373,12440,2025-04-14,3,
61,35920,6054,2025-04-14,3,
61,1563,14473,2025-04-14,3,
61,11053,27525,2025-04-14,3,
61,48773,11109,2025-04-14,2,
61,8136,27925,2025-04-14,3,
61,69347,18259,2025-04-14,3,
61,2982,9494,2025-04-13,3,
61,56775,7733,2025-04-14,3,9494
61,60353,17558,2025-04-13,1,
61,1283,17748,2025-04-13,3,
61,48642,17748,2025-04-13,1,
61,63562,12252,2025-04-13,1,
61,10498,16385,2025-04-13,1,
61,38697,19784,2025-04-14,1,16385
61,64488,1120,2025-04-13,1,
61,58791,24320,2025-04-13,1,
61,17173,24320,2025-04-14,3,24320
61,32806,28825,2025-04-13,3,
61,50991,28825,2025-04-13,1,
61,23575,2082,2025-04-13,1,
61,37543,2082,2025-04-13,1,
61,19669,8091,2025-04-13,3,
61,65801,19183,2025-04-14,3,8091
61,17623,22905,2025-04-13,1,
61,5859,12252,2025-04-13,1,
61,61250,8091,2025-04-13,2,
61,13102,3461,2025-04-13,1,
61,17031,8688,2025-04-13,3,
61,22897,15250,2025-04-13,3,
61,34863,11246,2025-04-13,1,
61,43866,15250,2025-04-13,1,
61,24351,1055,2025-04-13,1,15250
61,64868,26926,2025-04-14,1,15250
61,25568,21724,2025-04-14,3,15250
61,1317,3229,2025-04-14,1,15250
61,66234,18017,2025-04-14,3,15250
61,64198,24329,2025-04-13,1,
61,55864,13263,2025-04-13,3,
61,11586,26488,2025-04-13,1,
61,18583,12706,2025-04-13,1,
61,32931,12706,2025-04-13,1,
61,2110,18187,2025-04-13,1,
61,38902,20036,2025-04-13,3,
61,19317,26764,2025-04-13,3,
166,3480,3956,2025-04-15,3,
166,55950,9858,2025-04-15,1,
166,36476,20475,2025-04-14,3,
166,14739,5649,2025-04-14,3,
166,61431,20475,2025-04-14,3,
166,62282,20475,2025-04-14,3,
166,51626,20475,2025-04-14,3,
166,67912,20475,2025-04-14,5,
166,18663,20475,2025-04-14,3,
166,66026,20475,2025-04-14,3,
166,40372,20475,2025-04-14,1,
166,58885,20475,2025-04-14,3,
166,23096,20475,2025-04-14,1,
166,14824,20475,2025-04-14,3,
166,17931,20475,2025-04-14,3,
166,42330,20475,2025-04-14,3,
166,63401,20475,2025-04-14,1,
166,64205,20475,2025-04-14,3,
166,20010,20475,2025-04-14,1,
166,56593,20475,2025-04-14,1,
166,61525,20475,2025-04-14,1,
166,39986,20475,2025-04-14,1,
166,42615,20475,2025-04-14,3,
166,70002,20475,2025-04-14,3,
166,28203,20475,2025-04-14,3,
