id,created_at,author_id,in_reply_to_user_id,likert_scale_Q1,likert_scale_Q2,likert_scale_Q3
6377,2025-05-20,1950,,3,3,3
1177,2025-05-20,3376,,3,3,3
5633,2025-05-20,3151,,1,1,1
4840,2025-05-20,2265,,3,3,3
1535,2025-05-20,1564,,3,3,3
6410,2025-05-20,1813,2877,3,3,4
2658,2025-05-20,1852,,5,3,5
3112,2025-05-20,4722,,5,5,5
1661,2025-05-20,7077,,5,5,5
6755,2025-05-20,6325,,5,5,5
4062,2025-05-20,2054,2054,3,3,3
3160,2025-05-20,5567,,3,3,3
2457,2025-05-20,3396,,3,3,3
1437,2025-05-20,7224,,3,3,3
2874,2025-05-20,4051,,5,5,5
4106,2025-05-20,357,,5,5,5
4554,2025-05-20,363,,5,5,5
1754,2025-05-20,5585,2058,2,2,2
5755,2025-05-20,2353,,5,3,5
250,2025-05-20,7024,3442,5,5,5
4033,2025-05-20,3070,,5,5,5
508,2025-05-20,2150,,4,3,5
3326,2025-05-20,523,,5,1,2
5459,2025-05-20,1186,,1,1,1
1564,2025-05-20,3730,,5,3,5
2871,2025-05-20,2159,,5,5,5
189,2025-05-20,784,,5,5,5
1780,2025-05-20,380,,1,1,1
2436,2025-05-20,1577,,5,5,5
1711,2025-05-20,1413,,1,1,1
6710,2025-05-20,3529,,3,3,3
4895,2025-05-20,2909,,5,4,5
4592,2025-05-20,2869,,5,4,4
857,2025-05-20,6338,,3,3,3
3428,2025-05-20,4610,,5,5,5
4548,2025-05-20,2228,,1,1,1
5787,2025-05-20,7107,,5,5,5
1819,2025-05-20,6520,,5,5,5
1870,2025-05-20,3986,,3,3,3
4028,2025-05-20,1442,,5,5,5
5605,2025-05-20,4859,,5,5,5
192,2025-05-20,5251,,5,5,5
3286,2025-05-20,312,,5,5,5
6438,2025-05-20,2334,,3,3,3
447,2025-05-20,2140,,5,3,5
1365,2025-05-20,6666,,5,5,5
4618,2025-05-20,1027,,3,3,4
5982,2025-05-20,7122,,5,5,5
6207,2025-05-20,4137,,3,3,3
3949,2025-05-20,141,,3,3,3
4485,2025-05-20,1753,,5,5,5
4495,2025-05-20,1459,,5,5,5
6211,2025-05-20,1247,,3,3,3
6121,2025-05-20,3358,5878,3,3,3
3305,2025-05-20,2433,,5,5,3
1640,2025-05-20,807,,5,5,5
1056,2025-05-20,1870,,5,5,5
4098,2025-05-20,926,,5,3,4
669,2025-05-20,6715,,5,5,5
1636,2025-05-20,4640,,3,3,3
2980,2025-05-21,358,,5,5,5
161,2025-05-21,3841,,3,3,3
4523,2025-05-21,5763,,3,3,3
3360,2025-05-21,2456,,3,3,3
4091,2025-05-21,7136,,1,1,1
4799,2025-05-21,1763,,3,3,3
3259,2025-05-21,5409,,5,5,5
5350,2025-05-21,6606,,3,3,3
5953,2025-05-21,6360,,5,5,5
6769,2025-05-21,2243,,3,3,3
6138,2025-05-21,6466,,5,5,5
4117,2025-05-21,7096,,5,5,5
2483,2025-05-21,3402,,5,5,5
2477,2025-05-21,3001,,5,4,5
2470,2025-05-21,1637,6314,5,3,5
4146,2025-05-21,94,,5,5,5
498,2025-05-21,4035,,3,3,3
340,2025-05-21,2966,,3,3,3
5840,2025-05-21,5349,,3,3,3
1682,2025-05-21,5764,,5,5,5
1204,2025-05-21,3825,,5,5,5
2533,2025-05-21,2033,,5,3,5
3017,2025-05-21,4953,,3,3,3
3749,2025-05-21,2506,,5,4,4
2848,2025-05-21,3307,,3,3,3
2643,2025-05-21,6078,6039,4,3,3
4362,2025-05-21,5230,,5,5,5
4214,2025-05-21,2808,,3,3,3
6146,2025-05-21,2963,,3,3,3
5422,2025-05-21,6973,,3,3,3
308,2025-05-21,1432,,5,5,5
5866,2025-05-21,4107,,5,5,5
4981,2025-05-21,1624,,5,3,5
6616,2025-05-21,1288,,3,3,3
6555,2025-05-21,2736,,2,2,2
6397,2025-05-21,6998,,3,3,2
5139,2025-05-21,4186,,3,3,3
5415,2025-05-21,1373,,5,3,5
6111,2025-05-21,7154,,4,3,5
4157,2025-05-21,5977,,3,3,3
151,2025-05-21,2611,,4,3,5
4824,2025-05-21,3390,,5,5,5
1785,2025-05-21,4767,,3,3,3
1586,2025-05-21,4766,,5,3,5
30,2025-05-21,925,,3,3,3
1645,2025-05-21,5648,,3,3,3
1119,2025-05-21,1759,,3,3,3
3133,2025-05-21,3868,5270,5,2,4
4532,2025-05-21,3259,,5,3,5
4391,2025-05-21,2385,,3,3,3
5493,2025-05-21,6739,,5,5,5
6108,2025-05-21,1527,,5,5,5
6244,2025-05-21,483,,3,3,3
4551,2025-05-21,5464,,3,3,3
2833,2025-05-21,3071,,3,3,4
1456,2025-05-21,4515,,1,1,1
1798,2025-05-21,5607,,3,3,3
4043,2025-05-21,2514,,3,3,3
5821,2025-05-21,721,,4,3,5
1408,2025-05-21,47,,4,3,5
6345,2025-05-21,4792,,3,3,3
3080,2025-05-21,6266,,1,1,1
4090,2025-05-21,6262,,1,1,1
94,2025-05-21,5492,,3,3,3
342,2025-05-21,1347,,3,3,3
207,2025-05-21,6229,5678,2,2,2
3327,2025-05-21,3817,,3,3,4
4692,2025-05-21,6987,,5,5,5
3687,2025-05-21,172,,5,3,4
5152,2025-05-21,1532,3137,2,3,4
6005,2025-05-21,7038,,3,3,3
1256,2025-05-21,614,,3,3,3
3081,2025-05-21,1399,,3,3,3
3767,2025-05-21,4679,,3,3,3
4071,2025-05-21,2481,,5,3,4
2452,2025-05-21,3725,,5,4,4
5740,2025-05-21,5489,,5,5,5
2621,2025-05-21,6542,,3,3,3
1557,2025-05-21,262,,5,3,5
5441,2025-05-21,1191,,3,3,3
2962,2025-05-21,3796,,5,3,5
2432,2025-05-21,5114,,3,3,3
974,2025-05-21,2349,,5,3,4
4265,2025-05-21,4934,,3,3,3
3811,2025-05-21,2751,,3,3,3
4271,2025-05-21,4910,,3,3,3
2315,2025-05-21,5860,,3,3,3
5601,2025-05-21,3334,3339,4,3,3
2579,2025-05-21,4485,,3,3,3
4813,2025-05-21,4555,,1,3,2
6255,2025-05-21,7214,,5,5,5
93,2025-05-21,3504,,5,5,5
2604,2025-05-21,1475,,3,3,3
286,2025-05-21,4602,,5,3,5
3738,2025-05-21,455,,3,3,3
6015,2025-05-21,2072,,5,5,5
738,2025-05-21,3431,,3,3,3
783,2025-05-21,1916,,3,3,3
774,2025-05-21,6417,,3,5,3
6500,2025-05-21,2515,,5,5,5
672,2025-05-21,4216,,3,3,3
5036,2025-05-21,5149,,3,3,3
3910,2025-05-21,1749,,5,5,5
5004,2025-05-21,2498,,3,3,3
6580,2025-05-21,933,,3,3,3
2037,2025-05-21,3606,,4,3,5
6763,2025-05-21,1526,,1,1,1
4386,2025-05-21,2781,,3,3,3
2661,2025-05-21,338,,5,4,4
5781,2025-05-21,963,,5,5,5
6036,2025-05-21,4339,,5,4,5
524,2025-05-21,2122,,1,1,1
144,2025-05-21,4389,,3,3,3
418,2025-05-21,1021,5777,3,3,3
5059,2025-05-21,2250,,3,3,3
5326,2025-05-21,2035,,3,3,3
4517,2025-05-21,2292,,5,5,5
6884,2025-05-21,932,,5,3,5
6628,2025-05-21,2468,,3,3,3
6000,2025-05-21,502,,5,5,5
5905,2025-05-21,2703,,5,5,5
5168,2025-05-21,6898,,3,3,3
5862,2025-05-21,3182,,3,3,3
3100,2025-05-21,200,,5,3,5
3345,2025-05-21,917,,5,5,5
491,2025-05-21,2395,,3,3,3
1263,2025-05-21,2499,,3,3,3
2014,2025-05-21,2852,,1,1,1
4698,2025-05-21,6749,6627,2,2,2
4715,2025-05-21,5842,,3,3,3
903,2025-05-21,6265,,3,3,3
1050,2025-05-21,7240,,1,3,1
4629,2025-05-21,6488,,5,3,4
6274,2025-05-21,2043,,3,3,3
4492,2025-05-21,2926,,5,3,5
3740,2025-05-21,4842,,1,1,1
5944,2025-05-21,1555,,5,3,5
3663,2025-05-21,246,,5,3,4
5048,2025-05-21,2607,,3,3,3
235,2025-05-21,5808,,5,5,5
5773,2025-05-21,2345,,5,5,5
4637,2025-05-21,3133,,1,1,1
53,2025-05-21,6988,,5,5,5
6922,2025-05-21,2847,,3,3,3
5488,2025-05-21,4556,,1,1,1
2205,2025-05-21,5853,,5,5,5
3028,2025-05-21,378,,3,3,3
6399,2025-05-21,5600,,5,3,4
61,2025-05-21,6924,,5,3,4
